risk_score,hdi,ndvi,evi,ndwi,temp,rain,nightlights,curr_fire_risk,curr_poaching_risk,curr_encroachment_risk,curr_drought_risk,curr_heat_risk,sens_fire,sens_poaching,sens_encroachment,sens_drought,sens_disease,sens_power_lines,is_plant,is_mammal,is_bird,is_reptile,is_amphibian,is_insect,is_marine,is_fungi,action,outcome
0.14,0.71,0.44,0.41,0.07,44.1,1782.0,7.4,0.27,0.03,0.21,0.14,0.84,0.46,0.19,0.51,0.85,0.27,0.19,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.12,0.85,0.11,0.09,0.11,48.0,2263.0,8.2,0.09,0.06,0.13,0.22,0.94,0.36,0.86,0.51,0.04,0.37,0.12,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.07,0.41,0.4,0.35,0.21,44.8,813.0,5.1,0.19,0.0,0.23,0.06,0.99,0.04,0.45,0.62,0.81,0.38,0.18,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.5,0.66,0.16,0.15,0.44,30.9,2382.0,6.2,0.29,0.91,0.27,0.17,0.02,0.3,1.0,0.65,0.56,0.41,0.03,0,1,0,0,0,0,0,0,Intelligence_Led_Anti_Poaching,success
0.2,0.84,0.23,0.19,0.03,37.6,2021.0,7.1,0.22,0.25,0.71,0.12,0.3,0.6,0.34,1.0,0.98,0.32,0.18,0,1,0,0,0,0,0,0,Buffer_Zone_Enforcement,success
0.21,0.75,0.19,0.19,-0.14,38.2,872.0,8.6,0.11,0.28,0.05,0.21,0.91,0.07,0.54,0.97,0.78,0.31,0.1,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.4,0.8,0.72,0.64,-0.26,36.7,45.0,7.9,0.29,0.17,0.03,0.82,0.11,0.06,0.16,0.55,1.0,0.1,0.03,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.12,0.22,0.39,0.38,0.47,39.0,839.0,2.0,0.11,0.17,0.19,0.07,0.2,0.35,0.24,0.44,0.83,0.4,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.13,0.34,0.65,0.57,-0.22,32.4,1141.0,2.8,0.02,0.17,0.28,0.18,0.2,0.19,0.12,0.52,0.29,0.2,0.19,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.12,0.59,0.73,0.72,-0.44,42.8,743.0,5.3,0.21,0.04,0.23,0.14,0.29,0.16,0.57,0.81,0.13,0.25,0.17,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.14,0.81,0.7,0.56,-0.3,31.3,84.0,4.9,0.21,0.09,0.91,0.15,0.13,0.64,0.85,1.0,0.51,0.06,0.18,0,1,0,0,0,0,0,0,Elephant_Corridor_Securitization,success
0.32,0.7,0.22,0.55,0.21,45.8,2072.0,6.6,0.92,0.07,0.13,0.05,0.09,1.0,0.3,0.07,0.25,0.42,0.08,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.16,0.74,0.59,0.56,0.37,34.7,425.0,1.4,0.27,0.02,0.73,0.24,0.3,0.5,0.93,1.0,0.6,0.29,0.12,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.12,0.63,0.68,0.66,0.4,36.3,2042.0,5.7,0.03,0.24,0.23,0.05,0.01,0.73,0.49,0.26,0.27,0.27,0.04,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.15,0.72,0.33,0.26,-0.15,43.4,1720.0,7.3,0.15,0.17,0.28,0.13,0.8,0.31,0.6,0.46,0.08,0.25,0.2,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.2,0.4,0.32,0.29,-0.36,25.7,1368.0,2.9,0.25,0.25,0.19,0.1,0.0,0.9,0.6,0.44,0.3,0.47,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.35,0.89,0.52,0.51,-0.42,23.4,135.0,9.5,0.13,0.05,0.08,0.95,0.14,0.57,0.99,0.47,1.0,0.06,0.15,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.31,0.13,0.21,0.19,-0.04,49.6,2693.0,0.0,0.74,0.2,0.09,0.03,0.28,1.0,0.52,0.2,0.46,0.28,0.05,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.19,0.39,0.79,0.68,0.27,39.3,1831.0,4.0,0.18,0.27,0.05,0.11,0.96,0.78,0.61,0.45,0.4,0.08,0.1,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.17,0.14,0.2,0.16,-0.0,35.8,192.0,0.0,0.18,0.26,0.24,0.05,0.01,0.13,0.16,0.65,0.21,0.07,0.16,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.17,0.76,0.4,0.39,-0.2,40.4,2196.0,7.0,0.06,0.2,0.28,0.22,0.2,0.63,0.68,0.79,0.25,0.03,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.07,0.75,0.14,0.14,-0.41,24.2,433.0,8.8,0.06,0.01,0.07,0.16,0.14,0.65,0.93,0.36,0.91,0.09,0.16,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.13,0.41,0.33,0.32,0.04,17.6,1357.0,4.0,0.12,0.17,0.17,0.08,0.07,0.57,0.62,0.89,0.16,0.25,0.09,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.1,0.71,0.45,0.38,0.03,40.1,1193.0,6.1,0.25,0.01,0.22,0.07,0.13,0.92,0.62,0.4,0.16,0.39,0.0,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.36,0.33,0.39,0.31,-0.3,22.3,35.0,3.6,0.11,0.26,0.14,0.72,0.09,0.93,0.93,0.0,1.0,0.24,0.1,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.09,0.37,0.12,0.12,0.14,28.3,484.0,3.6,0.04,0.02,0.01,0.22,0.26,0.94,0.68,0.71,0.88,0.35,0.17,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.21,0.18,0.67,0.58,-0.28,47.2,2999.0,1.5,0.06,0.3,0.17,0.25,0.88,0.56,0.39,0.2,0.92,0.04,0.12,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.18,0.62,0.13,0.11,-0.35,17.2,594.0,8.4,0.11,0.16,0.93,0.27,0.08,0.56,0.28,1.0,0.41,0.39,0.17,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.39,0.52,0.44,0.4,0.44,43.8,1834.0,6.1,0.2,0.82,0.14,0.0,0.12,0.39,1.0,0.97,0.49,0.41,0.0,0,1,0,0,0,0,0,0,Intelligence_Led_Anti_Poaching,success
0.1,0.55,0.77,0.76,-0.08,28.1,2823.0,4.5,0.09,0.01,0.18,0.24,0.23,0.68,0.15,0.78,0.4,0.0,0.18,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.15,0.49,0.52,0.49,0.07,40.7,2855.0,4.1,0.06,0.1,0.0,0.3,0.74,0.34,0.44,0.22,0.7,0.15,0.03,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.32,0.49,0.18,0.81,0.08,47.2,1853.0,5.6,0.81,0.01,0.01,0.27,0.19,1.0,0.66,0.47,0.76,0.16,0.01,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.14,0.7,0.88,0.85,0.3,16.1,1872.0,8.2,0.18,0.15,0.12,0.09,0.27,0.16,0.84,0.22,0.73,1.0,0.13,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
0.12,0.59,0.15,0.14,-0.16,41.0,343.0,7.3,0.02,0.11,0.25,0.24,0.16,0.07,0.84,0.47,0.9,0.12,0.12,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.11,0.23,0.49,0.45,0.44,31.0,265.0,2.7,0.06,0.21,0.27,0.02,0.19,0.21,0.21,0.31,0.07,0.09,0.03,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.17,0.24,0.31,0.27,0.43,27.1,102.0,1.4,0.15,0.17,0.03,0.18,0.07,0.19,0.61,1.0,0.6,1.0,0.14,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
0.09,0.58,0.76,0.76,0.46,31.7,1996.0,6.1,0.02,0.16,0.22,0.07,0.23,0.81,0.49,0.38,0.51,1.0,0.14,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
0.35,0.81,0.14,0.39,0.02,45.1,561.0,7.8,0.72,0.26,0.1,0.12,0.27,1.0,0.17,0.29,0.27,0.07,0.01,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.38,0.41,0.16,0.39,0.25,47.9,1187.0,3.7,0.8,0.23,0.2,0.16,0.05,1.0,0.78,0.13,0.64,0.08,0.1,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.13,0.66,0.57,0.55,0.27,45.0,1445.0,6.1,0.23,0.07,0.72,0.12,0.03,0.76,0.14,1.0,0.94,0.34,0.14,0,1,0,0,0,0,0,0,Elephant_Corridor_Securitization,success
0.43,0.51,0.41,0.4,-0.25,40.6,119.0,5.7,0.11,0.3,0.25,0.92,0.2,0.88,0.7,0.47,1.0,0.11,0.16,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.16,0.44,0.5,0.44,-0.08,45.1,1641.0,5.8,0.03,0.29,0.22,0.1,0.73,0.74,0.48,0.52,0.5,0.44,0.19,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.4,0.85,0.39,0.33,-0.28,41.0,174.0,9.7,0.27,0.27,0.0,0.71,0.05,0.27,0.71,0.9,1.0,0.15,0.2,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.35,0.64,0.48,0.42,-0.38,32.2,20.0,7.2,0.24,0.04,0.08,0.88,0.15,0.37,0.34,0.28,1.0,0.47,0.11,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.31,0.52,0.19,0.18,-0.58,18.2,251.0,4.2,0.04,0.14,0.15,0.8,0.13,0.45,0.04,0.68,1.0,0.02,0.1,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.2,0.16,0.2,0.16,0.29,35.0,2312.0,1.2,0.25,0.16,0.13,0.22,0.16,0.69,0.89,0.22,0.2,0.14,0.02,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.35,0.16,0.37,0.7,-0.09,49.7,2376.0,2.9,0.8,0.08,0.04,0.25,0.29,1.0,0.64,0.94,0.82,0.09,0.19,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.53,0.82,0.15,0.13,-0.12,43.3,2376.0,9.6,0.24,0.92,0.09,0.3,0.1,0.52,1.0,0.58,0.89,0.46,0.08,0,1,0,0,0,0,0,0,Intelligence_Led_Anti_Poaching,success
0.07,0.6,0.51,0.47,0.13,34.0,1163.0,8.9,0.1,0.05,0.86,0.08,0.16,0.61,0.09,1.0,0.48,0.36,0.1,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.07,0.57,0.52,0.47,0.15,20.6,1161.0,7.0,0.02,0.16,0.28,0.02,0.15,0.54,0.59,0.51,0.59,0.17,0.17,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.15,0.63,0.16,0.14,0.05,29.4,1234.0,7.3,0.15,0.14,1.0,0.17,0.02,0.39,0.39,1.0,0.73,0.04,0.0,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.31,0.5,0.2,0.71,0.41,36.0,2893.0,4.9,0.8,0.07,0.02,0.16,0.1,1.0,0.27,0.88,0.3,0.07,0.02,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.13,0.26,0.7,0.69,0.14,27.6,1604.0,2.7,0.25,0.1,0.24,0.06,0.08,0.12,0.47,0.16,0.57,0.42,0.04,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.26,0.61,0.55,0.49,-0.48,39.0,1162.0,6.8,0.17,0.3,0.12,0.29,0.19,0.63,0.35,0.05,0.73,0.09,0.1,0,1,0,0,0,0,0,0,Apex_Prey_Base_Restoration,success
0.13,0.32,0.18,0.15,-0.32,44.0,1869.0,3.9,0.17,0.02,0.15,0.25,0.85,0.05,0.99,0.72,0.73,0.41,0.09,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.17,0.86,0.8,0.75,-0.42,22.8,980.0,9.6,0.23,0.16,0.91,0.13,0.28,0.55,0.57,1.0,0.15,0.12,0.16,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.13,0.57,0.28,0.24,0.12,40.5,2197.0,6.9,0.15,0.17,0.09,0.07,0.86,0.29,0.77,0.35,0.82,0.08,0.04,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.16,0.2,0.2,0.2,0.05,35.5,1393.0,3.3,0.15,0.23,0.21,0.07,0.27,0.3,0.66,0.35,0.13,0.38,0.08,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.17,0.63,0.59,0.48,0.04,41.1,1355.0,7.4,0.17,0.14,0.12,0.21,0.2,0.26,0.56,0.4,0.62,0.21,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.07,0.38,0.15,0.14,-0.31,17.7,1324.0,3.6,0.07,0.03,0.21,0.13,0.06,0.2,0.36,0.72,0.8,0.37,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.15,0.12,0.33,0.31,0.25,31.2,2892.0,0.3,0.1,0.28,0.17,0.03,0.29,0.41,0.52,0.78,0.29,0.08,0.0,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.13,0.78,0.52,0.46,-0.45,38.0,1007.0,1.3,0.08,0.05,0.86,0.29,0.13,0.29,0.25,1.0,0.29,0.43,0.18,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.33,0.49,0.35,0.33,0.27,41.2,2086.0,3.7,0.81,0.06,0.19,0.23,0.3,1.0,0.7,0.73,0.77,0.16,0.1,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.13,0.8,0.87,0.8,0.06,37.0,169.0,6.3,0.01,0.29,0.83,0.05,0.04,0.77,0.05,1.0,0.99,0.26,0.02,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.24,0.84,0.47,0.43,0.24,17.6,709.0,8.5,0.29,0.29,0.12,0.12,0.08,0.73,0.3,0.76,0.7,0.27,1.0,0,0,1,0,0,0,0,0,Install_Bird_Diverters,success
0.22,0.15,0.3,0.29,-0.08,33.6,4.0,2.0,0.26,0.28,0.04,0.11,0.16,0.99,0.02,0.17,0.01,0.36,0.12,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.13,0.54,0.18,0.18,-0.38,28.1,2710.0,6.8,0.06,0.22,0.14,0.07,0.17,0.27,0.82,0.51,0.55,0.43,0.18,0,0,1,0,0,0,0,0,Vulture_Safe_Zone_Demarcation,success
0.2,0.77,0.39,0.32,0.4,24.5,1488.0,3.1,0.11,0.25,0.87,0.21,0.1,0.99,0.11,1.0,0.75,0.49,0.02,0,1,0,0,0,0,0,0,Buffer_Zone_Enforcement,success
0.41,0.62,0.59,0.5,-0.26,37.2,293.0,6.9,0.28,0.25,0.28,0.75,0.06,0.84,0.66,0.52,1.0,0.19,0.17,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.31,0.77,0.68,0.59,-0.29,29.6,285.0,6.5,0.1,0.18,0.04,0.71,0.25,0.94,0.38,0.84,1.0,0.41,0.18,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.31,0.55,0.12,0.2,-0.19,46.3,1182.0,4.7,0.78,0.08,0.22,0.14,0.0,1.0,0.49,0.64,0.37,0.04,0.09,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.15,0.78,0.28,0.26,-0.5,25.2,568.0,7.8,0.19,0.12,0.18,0.17,0.13,0.45,0.6,0.85,1.0,0.3,0.11,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.18,0.74,0.49,0.47,-0.15,32.5,1469.0,8.7,0.27,0.11,0.09,0.18,0.18,0.11,0.32,0.47,0.68,1.0,0.05,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
0.16,0.12,0.73,0.71,-0.24,46.2,2232.0,0.4,0.16,0.26,0.24,0.03,0.85,0.98,0.33,0.93,0.64,0.25,0.07,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.37,0.53,0.77,0.7,-0.39,23.0,114.0,6.7,0.29,0.08,0.26,0.82,0.03,0.82,0.39,0.37,1.0,0.07,0.05,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
0.42,0.35,0.14,0.48,-0.29,42.2,2294.0,3.4,0.97,0.13,0.07,0.28,0.05,1.0,0.19,0.78,0.22,0.47,0.0,1,0,0,0,0,0,0,0,Strategic_Fire_Break_Maintenance,success
0.07,0.85,0.6,0.49,0.11,32.4,2702.0,1.7,0.17,0.03,0.84,0.01,0.2,0.2,0.18,1.0,0.5,0.21,0.12,0,1,0,0,0,0,0,0,Buffer_Zone_Enforcement,success
0.2,0.43,0.16,0.15,0.4,31.4,1904.0,5.8,0.3,0.18,0.27,0.13,0.12,0.84,0.03,0.05,0.63,1.0,0.09,0,0,0,0,1,0,0,0,Fungal_Infection_Screening,success
0.19,0.48,0.22,0.2,0.02,39.3,96.0,6.2,0.07,0.25,0.05,0.22,0.16,0.28,0.26,0.09,0.71,0.38,0.16,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.23,0.43,0.89,0.79,0.02,38.6,1001.0,4.5,0.28,0.19,0.19,0.23,0.73,0.42,0.57,0.33,0.98,0.42,0.11,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.15,0.39,0.84,0.79,-0.27,38.0,2809.0,4.8,0.08,0.12,0.24,0.27,0.91,0.95,0.93,0.59,0.26,0.32,0.11,0,0,0,1,0,0,0,0,Micro_Thermal_Shelter_Creation,success
0.16,0.74,0.87,0.86,0.44,17.0,1971.0,3.9,0.18,0.04,0.8,0.3,0.24,0.05,0.74,1.0,0.9,0.1,0.19,0,0,1,0,0,0,0,0,Nesting_Site_Exclusion_Zones,success
0.37,0.47,0.33,0.28,-0.35,19.4,223.0,5.9,0.23,0.06,0.06,0.93,0.09,0.54,0.03,0.29,1.0,0.47,0.09,0,0,0,0,1,0,0,0,Construct_Artificial_Wetlands,success
0.31,0.43,0.23,0.68,0.14,48.9,2581.0,5.5,0.85,0.03,0.11,0.17,0.05,1.0,0.1,0.61,0.13,0.24,0.15,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.39,0.73,0.18,0.39,0.49,49.3,578.0,8.4,0.86,0.27,0.08,0.08,0.19,1.0,0.48,0.04,0.08,0.42,0.04,0,1,0,0,0,0,0,0,Fire_Refuge_Creation,success
0.19,0.32,0.9,0.87,0.1,45.2,2728.0,2.6,0.2,0.29,0.03,0.06,0.82,0.91,0.59,0.56,0.59,0.44,0.06,0,1,0,0,0,0,0,0,Managed_Water_Points,success
0.18,0.13,0.7,0.59,-0.26,21.7,2274.0,1.9,0.19,0.29,0.01,0.03,0.13,0.54,0.18,0.16,0.41,0.06,0.19,0,0,1,0,0,0,0,0,Native_Tree_Reforestation,success
0.34,0.59,0.86,0.83,-0.48,33.8,264.0,7.3,0.16,0.04,0.09,0.92,0.29,0.7,0.47,0.61,1.0,0.1,0.08,0,1,0,0,0,0,0,0,Solar_Pump_Water_Holes,success
